entry,at,order
"The player ""CStam @ CPnkzyEFJl"" passed the room ownership to ""Big_L @ ZMx6SETI8r"".",2021-02-04T06:17:26.928Z,161241944692900
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T06:11:26.925Z,161241908692600
"""Big_L @ ZMx6SETI8r"" posts a big blind of 10",2021-02-04T06:08:37.035Z,161241891703605
"""NealW @ RhS1yjqLXE"" posts a small blind of 5",2021-02-04T06:08:37.035Z,161241891703604
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (460) | #8 ""Big_L @ ZMx6SETI8r"" (3540)",2021-02-04T06:08:37.035Z,161241891703601
"-- starting hand #289  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T06:08:37.035Z,161241891703600
"-- ending hand #288 --",2021-02-04T06:08:31.017Z,161241891101801
"""NealW @ RhS1yjqLXE"" collected 460 from pot with Three of a Kind, 4's (combination: 4♠, 4♣, 4♦, Q♠, J♥)",2021-02-04T06:08:31.017Z,161241891101800
"River: Q♠, 7♣, 9♦, J♥ [4♦]",2021-02-04T06:08:27.997Z,161241890799900
"Turn: Q♠, 7♣, 9♦ [J♥]",2021-02-04T06:08:24.980Z,161241890498200
"Flop:  [Q♠, 7♣, 9♦]",2021-02-04T06:08:21.966Z,161241890196700
"""Big_L @ ZMx6SETI8r"" shows a 6♦, 6♥.",2021-02-04T06:08:18.954Z,161241889895502
"""NealW @ RhS1yjqLXE"" shows a 4♠, 4♣.",2021-02-04T06:08:18.954Z,161241889895501
"Uncalled bet of 3540 returned to ""Big_L @ ZMx6SETI8r""",2021-02-04T06:08:18.954Z,161241889895500
"""NealW @ RhS1yjqLXE"" calls 230 and go all in",2021-02-04T06:08:18.149Z,161241889815000
"""Big_L @ ZMx6SETI8r"" raises to 3770 and go all in",2021-02-04T06:08:17.171Z,161241889717300
"""NealW @ RhS1yjqLXE"" posts a big blind of 10",2021-02-04T06:08:14.122Z,161241889412305
"""Big_L @ ZMx6SETI8r"" posts a small blind of 5",2021-02-04T06:08:14.122Z,161241889412304
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (230) | #8 ""Big_L @ ZMx6SETI8r"" (3770)",2021-02-04T06:08:14.122Z,161241889412301
"-- starting hand #288  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2021-02-04T06:08:14.122Z,161241889412300
"""NealW @ RhS1yjqLXE"" shows a A♠, 2♥.",2021-02-04T06:08:12.458Z,161241889246200
"""Big_L @ ZMx6SETI8r"" shows a 2♣, 8♣.",2021-02-04T06:08:10.457Z,161241889045900
"-- ending hand #287 --",2021-02-04T06:08:06.797Z,161241888679802
"""Big_L @ ZMx6SETI8r"" collected 3510 from pot",2021-02-04T06:08:06.797Z,161241888679801
"Uncalled bet of 260 returned to ""Big_L @ ZMx6SETI8r""",2021-02-04T06:08:06.797Z,161241888679800
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T06:08:05.983Z,161241888598400
"""Big_L @ ZMx6SETI8r"" bets 260 and go all in",2021-02-04T06:08:05.120Z,161241888512100
"Turn: J♠, 4♦, 2♠ [K♣]",2021-02-04T06:08:00.788Z,161241888079000
"""Big_L @ ZMx6SETI8r"" calls 1745",2021-02-04T06:07:59.980Z,161241887998100
"""NealW @ RhS1yjqLXE"" raises to 1745",2021-02-04T06:07:58.200Z,161241887820100
"""Big_L @ ZMx6SETI8r"" bets 10",2021-02-04T06:07:55.085Z,161241887508600
"Flop:  [J♠, 4♦, 2♠]",2021-02-04T06:07:51.504Z,161241887150500
"""Big_L @ ZMx6SETI8r"" checks",2021-02-04T06:07:50.696Z,161241887069700
"""NealW @ RhS1yjqLXE"" calls 10",2021-02-04T06:07:49.835Z,161241886983700
"""Big_L @ ZMx6SETI8r"" posts a big blind of 10",2021-02-04T06:07:38.144Z,161241885814505
"""NealW @ RhS1yjqLXE"" posts a small blind of 5",2021-02-04T06:07:38.144Z,161241885814504
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (1985) | #8 ""Big_L @ ZMx6SETI8r"" (2015)",2021-02-04T06:07:38.144Z,161241885814501
"-- starting hand #287  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T06:07:38.144Z,161241885814500
"-- ending hand #286 --",2021-02-04T06:07:32.226Z,161241885222702
"""NealW @ RhS1yjqLXE"" collected 20 from pot",2021-02-04T06:07:32.226Z,161241885222701
"Uncalled bet of 10 returned to ""NealW @ RhS1yjqLXE""",2021-02-04T06:07:32.226Z,161241885222700
"""Big_L @ ZMx6SETI8r"" folds",2021-02-04T06:07:31.411Z,161241885141200
"""NealW @ RhS1yjqLXE"" bets 10",2021-02-04T06:07:30.558Z,161241885055800
"Flop:  [5♥, 2♦, K♥]",2021-02-04T06:07:27.670Z,161241884767100
"""NealW @ RhS1yjqLXE"" checks",2021-02-04T06:07:26.862Z,161241884686400
"""Big_L @ ZMx6SETI8r"" calls 10",2021-02-04T06:07:25.239Z,161241884524000
"""NealW @ RhS1yjqLXE"" posts a big blind of 10",2021-02-04T06:07:20.869Z,161241884087405
"""Big_L @ ZMx6SETI8r"" posts a small blind of 5",2021-02-04T06:07:20.869Z,161241884087404
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (1975) | #8 ""Big_L @ ZMx6SETI8r"" (2025)",2021-02-04T06:07:20.869Z,161241884087401
"-- starting hand #286  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2021-02-04T06:07:20.869Z,161241884087400
"-- ending hand #285 --",2021-02-04T06:07:14.946Z,161241883494702
"""Big_L @ ZMx6SETI8r"" collected 10 from pot",2021-02-04T06:07:14.946Z,161241883494701
"Uncalled bet of 5 returned to ""Big_L @ ZMx6SETI8r""",2021-02-04T06:07:14.946Z,161241883494700
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T06:07:14.139Z,161241883414000
"""Big_L @ ZMx6SETI8r"" posts a big blind of 10",2021-02-04T06:07:10.740Z,161241883074105
"""NealW @ RhS1yjqLXE"" posts a small blind of 5",2021-02-04T06:07:10.740Z,161241883074104
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (1980) | #8 ""Big_L @ ZMx6SETI8r"" (2020)",2021-02-04T06:07:10.740Z,161241883074101
"-- starting hand #285  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T06:07:10.740Z,161241883074100
"IMPORTANT: The player ""beed2112 @ KATP09yIaO"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:07:07.870Z,161241882787100
"-- ending hand #284 --",2021-02-04T06:07:04.826Z,161241882482701
"""Big_L @ ZMx6SETI8r"" collected 40 from pot",2021-02-04T06:07:04.826Z,161241882482700
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T06:07:04.014Z,161241882401600
"Flop:  [8♣, 4♥, K♠]",2021-02-04T06:06:58.818Z,161241881882800
"""Big_L @ ZMx6SETI8r"" calls 20",2021-02-04T06:06:58.007Z,161241881800800
"""NealW @ RhS1yjqLXE"" raises to 20",2021-02-04T06:06:55.483Z,161241881548400
"""Big_L @ ZMx6SETI8r"" calls 10",2021-02-04T06:06:50.086Z,161241881008800
"""NealW @ RhS1yjqLXE"" posts a big blind of 10",2021-02-04T06:06:41.880Z,161241880188507
"""Big_L @ ZMx6SETI8r"" posts a small blind of 5",2021-02-04T06:06:41.880Z,161241880188506
"Player stacks: #3 ""NealW @ RhS1yjqLXE"" (2000) | #8 ""Big_L @ ZMx6SETI8r"" (2000)",2021-02-04T06:06:41.880Z,161241880188503
"The player ""Big_L @ ZMx6SETI8r"" joined the game with a stack of 2000.",2021-02-04T06:06:41.880Z,161241880188502
"The player ""NealW @ RhS1yjqLXE"" joined the game with a stack of 2000.",2021-02-04T06:06:41.880Z,161241880188501
"-- starting hand #284  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2021-02-04T06:06:41.880Z,161241880188500
"The player ""beed2112 @ KATP09yIaO"" canceled the seat request.",2021-02-04T06:06:37.951Z,161241879795200
"The admin approved the player ""NealW @ RhS1yjqLXE"" participation with a stack of 2000.",2021-02-04T06:06:33.550Z,161241879355400
"The player ""beed2112 @ KATP09yIaO"" requested a seat.",2021-02-04T06:06:33.127Z,161241879312800
"The player ""NealW @ RhS1yjqLXE"" requested a seat.",2021-02-04T06:06:27.523Z,161241878752400
"The player ""beed2112 @ KATP09yIaO"" quits the game with a stack of 0.",2021-02-04T06:06:25.716Z,161241878572000
"-- ending hand #283 --",2021-02-04T06:06:19.680Z,161241877968201
"""Big_L @ ZMx6SETI8r"" collected 230 from pot with Pair, 3's (combination: 3♠, 3♦, K♣, Q♦, 7♦)",2021-02-04T06:06:19.680Z,161241877968200
"River: 3♠, 6♦, 3♦, Q♦ [7♦]",2021-02-04T06:06:16.665Z,161241877666700
"Turn: 3♠, 6♦, 3♦ [Q♦]",2021-02-04T06:06:13.641Z,161241877364300
"Flop:  [3♠, 6♦, 3♦]",2021-02-04T06:06:10.626Z,161241877062800
"""Big_L @ ZMx6SETI8r"" shows a 4♣, K♣.",2021-02-04T06:06:07.607Z,161241876760901
"""beed2112 @ KATP09yIaO"" shows a 8♥, 5♥.",2021-02-04T06:06:07.607Z,161241876760900
"""Big_L @ ZMx6SETI8r"" calls 115",2021-02-04T06:06:06.793Z,161241876679500
"""beed2112 @ KATP09yIaO"" raises to 115 and go all in",2021-02-04T06:05:56.900Z,161241875690200
"""Big_L @ ZMx6SETI8r"" calls 10",2021-02-04T06:05:51.929Z,161241875193000
"""beed2112 @ KATP09yIaO"" posts a big blind of 10",2021-02-04T06:05:39.102Z,161241873910405
"""Big_L @ ZMx6SETI8r"" posts a small blind of 5",2021-02-04T06:05:39.102Z,161241873910404
"Your hand is 8♥, 5♥",2021-02-04T06:05:39.102Z,161241873910402
"Player stacks: #6 ""beed2112 @ KATP09yIaO"" (115) | #8 ""Big_L @ ZMx6SETI8r"" (1885)",2021-02-04T06:05:39.102Z,161241873910401
"-- starting hand #283  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2021-02-04T06:05:39.102Z,161241873910400
"-- ending hand #282 --",2021-02-04T06:05:36.179Z,161241873618002
"""Big_L @ ZMx6SETI8r"" collected 10 from pot",2021-02-04T06:05:36.179Z,161241873618001
"Uncalled bet of 5 returned to ""Big_L @ ZMx6SETI8r""",2021-02-04T06:05:36.179Z,161241873618000
"""beed2112 @ KATP09yIaO"" folds",2021-02-04T06:05:35.365Z,161241873536600
"""Big_L @ ZMx6SETI8r"" posts a big blind of 10",2021-02-04T06:05:15.326Z,161241871532705
"""beed2112 @ KATP09yIaO"" posts a small blind of 5",2021-02-04T06:05:15.326Z,161241871532704
"Your hand is 2♣, 7♣",2021-02-04T06:05:15.326Z,161241871532702
"Player stacks: #6 ""beed2112 @ KATP09yIaO"" (120) | #8 ""Big_L @ ZMx6SETI8r"" (1880)",2021-02-04T06:05:15.326Z,161241871532701
"-- starting hand #282  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-04T06:05:15.326Z,161241871532700
"-- ending hand #281 --",2021-02-04T06:05:09.277Z,161241870927901
"""Big_L @ ZMx6SETI8r"" collected 1880 from pot with Pair, 2's (combination: 2♣, 2♦, K♠, 8♦, 7♥)",2021-02-04T06:05:09.277Z,161241870927900
"River: 8♦, 4♠, K♠, 2♦ [7♥]",2021-02-04T06:05:06.266Z,161241870626700
"Turn: 8♦, 4♠, K♠ [2♦]",2021-02-04T06:05:03.251Z,161241870325200
"Flop:  [8♦, 4♠, K♠]",2021-02-04T06:05:00.236Z,161241870023700
"""Big_L @ ZMx6SETI8r"" shows a 2♣, 3♣.",2021-02-04T06:04:57.223Z,161241869722401
"""beed2112 @ KATP09yIaO"" shows a Q♦, 5♥.",2021-02-04T06:04:57.223Z,161241869722400
"""beed2112 @ KATP09yIaO"" calls 940",2021-02-04T06:04:56.417Z,161241869641800
"""Big_L @ ZMx6SETI8r"" raises to 940 and go all in",2021-02-04T06:04:50.795Z,161241869079600
"""beed2112 @ KATP09yIaO"" raises to 50",2021-02-04T06:04:44.825Z,161241868482600
"""Big_L @ ZMx6SETI8r"" calls 10",2021-02-04T06:04:36.520Z,161241867652100
"""beed2112 @ KATP09yIaO"" posts a big blind of 10",2021-02-04T06:04:24.390Z,161241866439305
"""Big_L @ ZMx6SETI8r"" posts a small blind of 5",2021-02-04T06:04:24.390Z,161241866439304
"Your hand is Q♦, 5♥",2021-02-04T06:04:24.390Z,161241866439302
"Player stacks: #6 ""beed2112 @ KATP09yIaO"" (1060) | #8 ""Big_L @ ZMx6SETI8r"" (940)",2021-02-04T06:04:24.390Z,161241866439301
"-- starting hand #281  (No Limit Texas Hold'em) (dealer: ""Big_L @ ZMx6SETI8r"") --",2021-02-04T06:04:24.390Z,161241866439300
"-- ending hand #280 --",2021-02-04T06:04:18.374Z,161241865837603
"""Big_L @ ZMx6SETI8r"" shows a 7♠, 4♥.",2021-02-04T06:04:18.374Z,161241865837602
"""beed2112 @ KATP09yIaO"" collected 120 from pot with Two Pair, A's & 3's (combination: A♣, A♠, 3♦, 3♣, Q♠)",2021-02-04T06:04:18.374Z,161241865837601
"""beed2112 @ KATP09yIaO"" shows a 2♦, 3♦.",2021-02-04T06:04:18.374Z,161241865837600
"""beed2112 @ KATP09yIaO"" calls 10",2021-02-04T06:04:17.568Z,161241865756900
"""Big_L @ ZMx6SETI8r"" bets 10",2021-02-04T06:04:15.913Z,161241865591400
"River: A♣, A♠, 3♣, Q♠ [5♦]",2021-02-04T06:04:14.416Z,161241865441800
"""Big_L @ ZMx6SETI8r"" calls 30",2021-02-04T06:04:13.604Z,161241865360600
"""beed2112 @ KATP09yIaO"" bets 30",2021-02-04T06:04:10.050Z,161241865005100
"IMPORTANT: The player ""Brando @ 2sA8M7lDsm"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:04:07.552Z,161241864755300
"""Big_L @ ZMx6SETI8r"" checks",2021-02-04T06:04:01.907Z,161241864190900
"Turn: A♣, A♠, 3♣ [Q♠]",2021-02-04T06:03:59.269Z,161241863927100
"""Big_L @ ZMx6SETI8r"" calls 10",2021-02-04T06:03:58.463Z,161241863846400
"""beed2112 @ KATP09yIaO"" bets 10",2021-02-04T06:03:51.698Z,161241863169900
"""Big_L @ ZMx6SETI8r"" checks",2021-02-04T06:03:49.822Z,161241862982300
"IMPORTANT: The player ""Jake @ Y8-LRh0g-6"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:03:39.695Z,161241861969600
"Flop:  [A♣, A♠, 3♣]",2021-02-04T06:03:34.228Z,161241861423000
"""Big_L @ ZMx6SETI8r"" checks",2021-02-04T06:03:33.416Z,161241861341700
"""beed2112 @ KATP09yIaO"" calls 10",2021-02-04T06:03:23.570Z,161241860357100
"""Big_L @ ZMx6SETI8r"" posts a big blind of 10",2021-02-04T06:03:18.701Z,161241859870907
"""beed2112 @ KATP09yIaO"" posts a small blind of 5",2021-02-04T06:03:18.701Z,161241859870906
"Your hand is 2♦, 3♦",2021-02-04T06:03:18.701Z,161241859870904
"Player stacks: #6 ""beed2112 @ KATP09yIaO"" (1000) | #8 ""Big_L @ ZMx6SETI8r"" (1000)",2021-02-04T06:03:18.701Z,161241859870903
"The player ""Big_L @ ZMx6SETI8r"" joined the game with a stack of 1000.",2021-02-04T06:03:18.701Z,161241859870902
"The player ""beed2112 @ KATP09yIaO"" joined the game with a stack of 1000.",2021-02-04T06:03:18.701Z,161241859870901
"-- starting hand #280  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-04T06:03:18.701Z,161241859870900
"The admin updated the player ""Big_L @ ZMx6SETI8r"" stack from 100 to 1000.",2021-02-04T06:02:59.552Z,161241857955601
"WARNING: the admin queued the stack change for the player ""Big_L @ ZMx6SETI8r"" reseting to 1000 chips in the next hand.",2021-02-04T06:02:59.552Z,161241857955600
"IMPORTANT: The player ""CStam @ CPnkzyEFJl"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:02:45.612Z,161241856561300
"The player ""NealW @ RhS1yjqLXE"" canceled the seat request.",2021-02-04T06:02:34.061Z,161241855406300
"The player ""Jake @ Y8-LRh0g-6"" canceled the seat request.",2021-02-04T06:02:30.457Z,161241855045800
"The player ""Jake @ Y8-LRh0g-6"" requested a seat.",2021-02-04T06:02:28.878Z,161241854888000
"The admin approved the player ""Big_L @ ZMx6SETI8r"" participation with a stack of 100.",2021-02-04T06:02:28.310Z,161241854831500
"The player ""NealW @ RhS1yjqLXE"" requested a seat.",2021-02-04T06:02:01.366Z,161241852136800
"IMPORTANT: The player ""NealW @ RhS1yjqLXE"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:01:59.153Z,161241851915400
"The admin approved the player ""beed2112 @ KATP09yIaO"" participation with a stack of 1000.",2021-02-04T06:01:53.497Z,161241851350000
"The player ""Big_L @ ZMx6SETI8r"" requested a seat.",2021-02-04T06:01:52.753Z,161241851275400
"The player ""beed2112 @ KATP09yIaO"" requested a seat.",2021-02-04T06:01:44.647Z,161241850464800
"IMPORTANT: The player ""Big_L @ ZMx6SETI8r"" now is in spectator mode (seeing all hole cards when unseated).",2021-02-04T06:01:29.526Z,161241848952700
"The game's big blind was changed from 400 to 10.",2021-02-04T06:01:17.311Z,161241847731202
"The game's small blind was changed from 200 to 5.",2021-02-04T06:01:17.311Z,161241847731201
"IMPORTANT: spectator mode activated.",2021-02-04T06:01:17.311Z,161241847731200
"The player ""Jake @ Y8-LRh0g-6"" canceled the seat request.",2021-02-04T06:01:08.817Z,161241846881800
"The player ""beed2112 @ KATP09yIaO"" quits the game with a stack of 7000.",2021-02-04T06:01:06.197Z,161241846620101
"The admin ""CStam @ CPnkzyEFJl"" enqueued the removal of the player ""beed2112 @ KATP09yIaO"".",2021-02-04T06:01:06.197Z,161241846620100
"The player ""Big_L @ ZMx6SETI8r"" canceled the seat request.",2021-02-04T06:00:51.566Z,161241845156700
"The player ""Jake @ Y8-LRh0g-6"" requested a seat.",2021-02-04T06:00:33.179Z,161241843318100
"The player ""Big_L @ ZMx6SETI8r"" requested a seat.",2021-02-04T06:00:29.080Z,161241842908100
"The player ""NealW @ RhS1yjqLXE"" quits the game with a stack of 0.",2021-02-04T06:00:16.494Z,161241841650100
"-- ending hand #279 --",2021-02-04T06:00:10.460Z,161241841046101
"""beed2112 @ KATP09yIaO"" collected 6432 from pot with Full House, J's over 10's (combination: J♠, J♦, J♣, 10♦, 10♥)",2021-02-04T06:00:10.460Z,161241841046100
"River: J♦, 7♠, 10♥, 2♠ [J♣]",2021-02-04T06:00:07.439Z,161241840744200
"Turn: J♦, 7♠, 10♥ [2♠]",2021-02-04T06:00:04.408Z,161241840441100
"Flop:  [J♦, 7♠, 10♥]",2021-02-04T06:00:01.359Z,161241840136200
"""NealW @ RhS1yjqLXE"" shows a 7♥, A♦.",2021-02-04T05:59:58.329Z,161241839832901
"""beed2112 @ KATP09yIaO"" shows a 10♦, J♠.",2021-02-04T05:59:58.329Z,161241839832900
"""beed2112 @ KATP09yIaO"" calls 3216",2021-02-04T05:59:57.521Z,161241839752200
"""NealW @ RhS1yjqLXE"" raises to 3216 and go all in",2021-02-04T05:59:49.961Z,161241838996300
"""beed2112 @ KATP09yIaO"" calls 400",2021-02-04T05:59:47.470Z,161241838747200
"""NealW @ RhS1yjqLXE"" posts a big blind of 400",2021-02-04T05:59:44.413Z,161241838441405
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-04T05:59:44.413Z,161241838441404
"Your hand is 10♦, J♠",2021-02-04T05:59:44.413Z,161241838441402
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (3784) | #9 ""NealW @ RhS1yjqLXE"" (3216)",2021-02-04T05:59:44.413Z,161241838441401
"-- starting hand #279  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-04T05:59:44.413Z,161241838441400
"Undealt cards:  [6♥, 3♠, A♠, 3♥, A♣]",2021-02-04T05:59:40.237Z,161241838023900
"-- ending hand #278 --",2021-02-04T05:59:38.508Z,161241837850902
"""NealW @ RhS1yjqLXE"" collected 800 from pot",2021-02-04T05:59:38.508Z,161241837850901
"Uncalled bet of 800 returned to ""NealW @ RhS1yjqLXE""",2021-02-04T05:59:38.508Z,161241837850900
"""beed2112 @ KATP09yIaO"" folds",2021-02-04T05:59:37.702Z,161241837770300
"""NealW @ RhS1yjqLXE"" raises to 1200",2021-02-04T05:58:32.632Z,161241831263300
"""beed2112 @ KATP09yIaO"" posts a big blind of 400",2021-02-04T05:58:26.542Z,161241830654305
"""NealW @ RhS1yjqLXE"" posts a small blind of 200",2021-02-04T05:58:26.542Z,161241830654304
"Your hand is Q♦, 4♣",2021-02-04T05:58:26.542Z,161241830654302
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4184) | #9 ""NealW @ RhS1yjqLXE"" (2816)",2021-02-04T05:58:26.542Z,161241830654301
"-- starting hand #278  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T05:58:26.542Z,161241830654300
"Undealt cards:  [K♦, 9♥, 7♥, 10♠, 7♦]",2021-02-04T05:58:21.022Z,161241830102500
"""NealW @ RhS1yjqLXE"" shows a 4♣, 2♥.",2021-02-04T05:58:20.460Z,161241830046100
"-- ending hand #277 --",2021-02-04T05:58:19.933Z,161241829993402
"""NealW @ RhS1yjqLXE"" collected 800 from pot",2021-02-04T05:58:19.933Z,161241829993401
"Uncalled bet of 2016 returned to ""NealW @ RhS1yjqLXE""",2021-02-04T05:58:19.933Z,161241829993400
"""beed2112 @ KATP09yIaO"" folds",2021-02-04T05:58:19.119Z,161241829912100
"""NealW @ RhS1yjqLXE"" raises to 2416 and go all in",2021-02-04T05:58:16.639Z,161241829664000
"""beed2112 @ KATP09yIaO"" calls 400",2021-02-04T05:58:12.958Z,161241829295900
"""NealW @ RhS1yjqLXE"" posts a big blind of 400",2021-02-04T05:58:10.055Z,161241829005605
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-04T05:58:10.055Z,161241829005604
"Your hand is Q♥, 8♦",2021-02-04T05:58:10.055Z,161241829005602
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4584) | #9 ""NealW @ RhS1yjqLXE"" (2416)",2021-02-04T05:58:10.055Z,161241829005601
"-- starting hand #277  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-04T05:58:10.055Z,161241829005600
"Undealt cards: 8♦, 2♦, 7♠ [10♥, 7♣]",2021-02-04T05:58:05.700Z,161241828570000
"-- ending hand #276 --",2021-02-04T05:58:04.146Z,161241828414702
"""beed2112 @ KATP09yIaO"" collected 1600 from pot",2021-02-04T05:58:04.146Z,161241828414701
"Uncalled bet of 400 returned to ""beed2112 @ KATP09yIaO""",2021-02-04T05:58:04.146Z,161241828414700
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T05:58:03.340Z,161241828334100
"""beed2112 @ KATP09yIaO"" bets 400",2021-02-04T05:58:01.145Z,161241828114600
"Flop:  [8♦, 2♦, 7♠]",2021-02-04T05:57:54.821Z,161241827482200
"""beed2112 @ KATP09yIaO"" calls 800",2021-02-04T05:57:54.009Z,161241827401000
"""NealW @ RhS1yjqLXE"" raises to 800",2021-02-04T05:57:32.508Z,161241825250900
"""beed2112 @ KATP09yIaO"" posts a big blind of 400",2021-02-04T05:57:26.231Z,161241824623205
"""NealW @ RhS1yjqLXE"" posts a small blind of 200",2021-02-04T05:57:26.231Z,161241824623204
"Your hand is 2♠, A♦",2021-02-04T05:57:26.231Z,161241824623202
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (3784) | #9 ""NealW @ RhS1yjqLXE"" (3216)",2021-02-04T05:57:26.231Z,161241824623201
"-- starting hand #276  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T05:57:26.231Z,161241824623200
"Undealt cards:  [6♦, 4♠, 2♦, 10♣, 5♣]",2021-02-04T05:57:21.497Z,161241824149900
"-- ending hand #275 --",2021-02-04T05:57:20.311Z,161241824031302
"""NealW @ RhS1yjqLXE"" collected 800 from pot",2021-02-04T05:57:20.311Z,161241824031301
"Uncalled bet of 2416 returned to ""NealW @ RhS1yjqLXE""",2021-02-04T05:57:20.311Z,161241824031300
"""beed2112 @ KATP09yIaO"" folds",2021-02-04T05:57:19.497Z,161241823949800
"""NealW @ RhS1yjqLXE"" raises to 2816 and go all in",2021-02-04T05:57:17.844Z,161241823784500
"""beed2112 @ KATP09yIaO"" calls 400",2021-02-04T05:57:15.434Z,161241823543500
"""NealW @ RhS1yjqLXE"" posts a big blind of 400",2021-02-04T05:57:13.566Z,161241823356705
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-04T05:57:13.566Z,161241823356704
"Your hand is 9♦, 4♣",2021-02-04T05:57:13.566Z,161241823356702
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (4184) | #9 ""NealW @ RhS1yjqLXE"" (2816)",2021-02-04T05:57:13.566Z,161241823356701
"-- starting hand #275  (No Limit Texas Hold'em) (dealer: ""beed2112 @ KATP09yIaO"") --",2021-02-04T05:57:13.566Z,161241823356700
"Undealt cards:  [5♣, 9♣, K♣, 2♦, K♥]",2021-02-04T05:57:08.205Z,161241822820600
"""NealW @ RhS1yjqLXE"" shows a 6♠, 10♥.",2021-02-04T05:57:07.171Z,161241822717200
"-- ending hand #274 --",2021-02-04T05:57:06.953Z,161241822695402
"""beed2112 @ KATP09yIaO"" collected 400 from pot",2021-02-04T05:57:06.953Z,161241822695401
"Uncalled bet of 200 returned to ""beed2112 @ KATP09yIaO""",2021-02-04T05:57:06.953Z,161241822695400
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T05:57:06.135Z,161241822614600
"""beed2112 @ KATP09yIaO"" posts a big blind of 400",2021-02-04T05:57:02.394Z,161241822239605
"""NealW @ RhS1yjqLXE"" posts a small blind of 200",2021-02-04T05:57:02.394Z,161241822239604
"Your hand is J♣, 10♠",2021-02-04T05:57:02.394Z,161241822239602
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (3984) | #9 ""NealW @ RhS1yjqLXE"" (3016)",2021-02-04T05:57:02.394Z,161241822239601
"-- starting hand #274  (No Limit Texas Hold'em) (dealer: ""NealW @ RhS1yjqLXE"") --",2021-02-04T05:57:02.394Z,161241822239600
"Undealt cards:  [4♠, 2♥, A♣, Q♥, 9♦]",2021-02-04T05:56:56.934Z,161241821693500
"""NealW @ RhS1yjqLXE"" shows a 3♥, 4♦.",2021-02-04T05:56:55.951Z,161241821595200
"-- ending hand #273 --",2021-02-04T05:56:55.776Z,161241821577702
"""beed2112 @ KATP09yIaO"" collected 800 from pot",2021-02-04T05:56:55.776Z,161241821577701
"Uncalled bet of 3184 returned to ""beed2112 @ KATP09yIaO""",2021-02-04T05:56:55.776Z,161241821577700
"""NealW @ RhS1yjqLXE"" folds",2021-02-04T05:56:54.955Z,161241821495600
"""beed2112 @ KATP09yIaO"" raises to 3584 and go all in",2021-02-04T05:56:53.170Z,161241821317000
"""NealW @ RhS1yjqLXE"" posts a big blind of 400",2021-02-04T05:56:47.258Z,161241820725905
"""beed2112 @ KATP09yIaO"" posts a small blind of 200",2021-02-04T05:56:47.258Z,161241820725904
"Your hand is 6♥, Q♦",2021-02-04T05:56:47.258Z,161241820725902
"Player stacks: #1 ""beed2112 @ KATP09yIaO"" (3584) | #9 ""NealW @ RhS1yjqLXE"" (3416)",2021-02-04T05:56:47.258Z,161241820725901
